-5.4527	-1.9579	3.4948	-3.7053	1.9642	6.0265	408.3630	-2.8900	298.8400	-34.8470	-19.3850	183.7520	-1315.2038	234.8117	250.5500	96.9150	172.5210	0.2833	0.0880	0.0752	389.1376
-5.7874	-2.1772	3.6102	-3.9823	2.1964	5.2692	407.7980	-7.8210	324.9140	-29.5470	7.3760	163.0880	-1660.2749	208.7133	223.5090	91.3840	166.2660	0.2474	0.0808	0.0651	393.0880
-5.8083	-1.2321	4.5762	-3.5202	1.3540	1.9214	333.0770	-4.7020	190.6490	-25.2930	-11.7250	151.2500	-1037.7606	178.9898	190.3450	71.4830	143.8240	0.6334	0.1200	0.1184	307.1009
-6.7093	-3.4953	3.2140	-5.1023	4.0501	7.4286	450.3550	-28.5370	351.5120	-10.8320	-16.1340	177.2680	-1865.1112	256.4438	274.5150	109.3100	198.8970	0.1557	0.0659	0.0505	455.1151
-6.6247	-3.3375	3.2872	-4.9811	3.7740	5.1859	481.5050	33.9180	320.3610	-12.6270	28.9890	173.4630	-1884.9818	248.2245	266.3510	108.3360	203.2790	0.1958	0.0540	0.0455	456.0991
-7.1703	-4.1732	2.9971	-5.6717	5.3666	7.1566	294.9970	-29.6850	247.5130	17.2010	21.9170	138.3070	-1497.0846	163.5885	176.8470	79.1350	156.3770	0.3885	0.1324	0.1152	344.0579
-6.1789	-3.0246	3.1544	-4.6018	3.3566	0.7696	522.9470	-8.7800	451.5400	-53.2670	-17.2380	303.3500	-2324.7872	440.2312	467.4600	159.7460	276.1320	0.1097	0.0307	0.0284	599.2650
-6.1825	-3.0052	3.1772	-4.5939	3.3211	3.1854	517.0110	22.2040	429.1670	14.6920	-18.5810	326.0730	-2324.7892	439.2085	466.7800	161.1220	275.9600	0.1194	0.0317	0.0284	599.2650
-6.2029	-3.0140	3.1889	-4.6084	3.3299	2.3886	415.7890	19.2850	369.7570	21.5610	-38.4300	255.5540	-2054.3572	371.1924	394.8480	136.9400	242.3060	0.1412	0.0538	0.0465	509.2180
-6.1993	-3.0145	3.1848	-4.6069	3.3320	2.7597	510.8210	20.8060	413.3800	14.6840	-18.9860	309.4310	-2285.4614	422.0500	448.4980	155.0410	269.5910	0.1266	0.0336	0.0300	585.2493
-6.2657	-3.0804	3.1854	-4.6730	3.4277	1.0802	504.9010	22.5050	420.6320	16.0430	-21.0480	306.8030	-2384.7252	416.9349	443.8920	157.9810	273.5070	0.1214	0.0302	0.0272	603.2399
-6.1131	-2.8028	3.3103	-4.4579	3.0017	3.3209	506.2400	33.0700	386.6480	5.2420	-21.7820	304.5180	-1825.8410	428.2515	453.8750	151.1040	261.7580	0.1584	0.0346	0.0316	551.2883
-5.8946	-1.0547	4.8399	-3.4746	1.2473	3.0278	232.6050	8.1360	184.4830	17.8310	-5.9510	192.2000	-1413.1815	166.8059	178.1930	72.5760	137.9940	0.3501	0.1888	0.1705	316.0615
-5.9142	-0.9075	5.0067	-3.4108	1.1618	3.1789	339.4240	0.7860	255.9540	-12.5050	-2.4550	211.7990	-1247.9899	233.0506	247.1490	90.1170	160.8630	0.2905	0.1044	0.0942	374.1431
-6.0154	-1.3206	4.6948	-3.6680	1.4329	1.4314	410.1960	-7.9710	311.8950	-21.6160	-2.5350	247.2020	-4296.4350	245.7692	262.9230	104.7120	187.2880	0.1554	0.0590	0.0508	498.0346
-6.1547	-2.0362	4.1185	-4.0955	2.0363	3.5972	372.0570	-21.4540	351.4900	34.1340	-14.3090	230.7150	-4141.3412	228.8381	244.4780	97.8430	176.1780	0.1397	0.0885	0.0617	475.0242
-5.4303	-2.7195	2.7108	-4.0749	3.0627	6.1401	356.2420	-40.7730	207.3260	3.6530	-2.5550	137.0330	-1025.9593	180.2128	191.4770	71.9470	140.6300	0.5987	0.1165	0.1044	306.1117
-5.4165	-2.6643	2.7522	-4.0404	2.9658	6.3903	370.2610	-32.8910	225.1350	-9.1750	5.8940	147.9380	-1065.2865	197.2078	209.7110	78.0680	152.3770	0.4656	0.1098	0.0949	320.1273
-5.6799	-2.1113	3.5685	-3.8956	2.1263	4.3449	483.8430	-36.8380	391.7560	-17.0160	-29.1930	274.8670	-2975.6200	277.1819	296.3550	120.9740	212.5260	0.1708	0.0310	0.0290	554.1017
-5.6494	-2.0784	3.5710	-3.8639	2.0904	3.4509	495.1070	-30.4230	394.9520	-3.3820	-25.1560	285.1130	-5212.0235	267.9129	285.7220	112.5850	200.4850	0.1702	0.0300	0.0281	564.0248
-5.5879	-0.9698	4.6181	-3.2789	1.1640	2.4069	206.0680	-3.5820	160.6630	-18.3120	-0.5650	115.9550	-1147.1377	134.8515	143.8130	55.3140	120.3280	0.6435	0.3725	0.2835	246.0560
-5.5784	-0.9720	4.6064	-3.2752	1.1643	2.2862	205.5120	-14.1470	173.0750	-19.8780	-0.6710	122.0160	-3261.0580	134.4230	143.5530	55.7600	123.0450	0.4764	0.3478	0.2404	290.0055
-5.7063	-1.0389	4.6673	-3.3726	1.2185	1.8584	230.4590	-0.4630	169.9190	-14.5640	-3.0240	110.3390	-3261.0595	134.4538	143.5760	55.7550	123.4890	0.6415	0.1996	0.1637	290.0055
-6.3770	-1.1889	5.1882	-3.7830	1.3792	1.9954	217.0800	5.7600	162.8440	-16.0810	-0.0790	102.3830	-1450.6598	107.3885	115.5500	50.5780	116.8770	0.7120	0.2779	0.2149	249.0015
-6.3417	-1.1796	5.1620	-3.7606	1.3698	2.0168	226.6340	0.2770	168.6820	-17.6930	1.8420	107.0180	-3564.5805	106.9916	115.3230	51.0010	119.7720	0.6313	0.1998	0.1606	292.9510
-5.6293	-1.1565	4.4728	-3.3929	1.2869	6.0426	332.9050	19.1340	295.8940	-6.3180	15.9070	275.5070	-1335.6945	265.0692	281.6170	103.9660	180.7930	0.1892	0.1098	0.0915	410.1743
-5.7566	-1.4283	4.3283	-3.5925	1.4909	5.1055	338.6210	-13.3610	296.8970	5.9400	-1.0340	310.6730	-1795.3149	258.9617	276.3480	107.8850	188.1190	0.1397	0.0971	0.0835	444.1353
-5.6391	-1.4058	4.2333	-3.5224	1.4654	4.9517	312.8730	12.7400	293.7740	-1.1530	-1.5620	200.4450	-1603.5375	225.0289	240.8880	96.0070	174.1620	0.2556	0.1115	0.0924	382.1197
-5.8089	-1.4164	4.3925	-3.6126	1.4856	5.2546	337.4400	10.9630	286.7280	-1.2000	18.5280	279.0610	-1534.2198	254.6101	272.2790	110.0500	189.8440	0.1534	0.0867	0.0756	446.1554
-5.8197	-1.5195	4.3002	-3.6696	1.5657	5.4594	324.0460	-3.4720	293.8110	-1.5560	-3.6000	193.8130	-2023.8305	201.9105	217.3710	93.8530	170.8820	0.2397	0.0899	0.0756	402.0650
-6.1498	-1.8207	4.3291	-3.9853	1.8344	3.9963	387.4860	-8.6080	345.6870	6.1810	21.5980	332.5650	-3174.1663	240.6760	260.4680	119.6230	208.3450	0.1122	0.0586	0.0530	546.0184
-4.9664	-1.8841	3.0823	-3.4253	1.9032	1.2203	549.0480	30.8780	362.5410	-21.9620	20.2150	263.8190	-1681.2756	336.8970	357.4930	129.0030	219.5370	0.2462	0.0327	0.0312	516.2161
-5.8644	-2.7500	3.1144	-4.3072	2.9784	4.7496	518.7460	-49.7880	268.1690	-30.6520	23.6080	309.8410	-1938.6824	278.1018	296.8180	115.8450	197.5370	0.2055	0.0497	0.0470	481.1420
-6.8135	-1.5682	5.2453	-4.1909	1.6742	5.5678	359.1150	41.0340	221.6630	-3.3160	19.4610	190.1700	-1575.7688	201.0411	214.6720	84.5060	160.7530	0.3435	0.0909	0.0832	372.0892
-6.7038	-3.3998	3.3040	-5.0518	3.8621	6.6349	490.4700	-28.7620	293.6040	-7.6480	-19.8380	230.6080	-2312.5935	249.8185	268.4970	114.7520	203.4190	0.2107	0.0406	0.0372	492.0886
-6.4287	-3.0967	3.3321	-4.7627	3.4038	4.4501	349.4300	52.6180	299.4890	-17.4230	23.7630	190.7130	-1570.5019	201.8713	216.5930	89.9510	172.1580	0.1469	0.0825	0.0600	496.9866
-6.2146	-2.6594	3.5552	-4.4370	2.7687	5.4576	365.5180	-40.8310	365.5570	-36.6100	-26.9160	180.9090	-1783.8285	235.8498	252.3730	102.4080	182.4410	0.1491	0.1020	0.0694	429.1107
-6.6690	-2.7609	3.9081	-4.7150	2.8442	4.6228	394.5450	10.5420	345.9770	-24.9400	11.3910	226.9780	-1886.9610	314.6128	331.9920	112.2630	189.0820	0.1471	0.0814	0.0604	472.1780
-6.3746	-2.3179	4.0567	-4.3462	2.3282	10.3615	418.6600	18.0900	328.3580	-22.5450	-13.0660	259.6210	-2034.7793	276.7927	296.9490	123.3390	209.5710	0.1629	0.0711	0.0594	506.1260
